id,name,name_japanese,description,category,price
52,애플 아이패드 9세대 (Wi-Fi 64GB),アップル iPad (第9世代) Wi-Fi 64GB,10.2인치 Retina 디스플레이와 A13 Bionic 칩이 탑재된 아이패드 9세대는 빠른 성능과 다양한 멀티태스킹 기능으로 일상과 학습 모두에 적합한 태블릿입니다.,IT,50000
53,소니 무선이어폰 WF-1000XM5,ソニ? ワイヤレスイヤホン WF-1000XM5,소니 무선이어폰 WF-1000XM5는 업계 최고 수준의 노이즈 캔슬링과 고음질 사운드를 제공하는 프리미엄 완전 무선 이어폰으로 편안한 착용감과 긴 배터리 수명이 특징입니다.,IT,35000
54,닌텐도 스위치 OLED 모델,Nintendo Switch OLED モデル,"닌텐도 스위치 OLED 모델은 선명한 7인치 OLED 화면과 향상된 오디오, 넓어진 스탠드, 유선 LAN 포트를 갖춘 닌텐도의 업그레이드 게임 콘솔입니다.",IT,38000
55,애플 매직 마우스 2,アップル マジックマウス 2,애플 매직 마우스 2는 멀티 터치 표면과 재충전 가능한 배터리를 갖춘 무선 마우스로 애플 기기와 완벽하게 호환되는 세련된 디자인의 주변기기입니다.,IT,11000
56,로지텍 무선 키보드 K380,ロジテック ワイヤレスキ?ボ?ド K380,로지텍 무선 키보드 K380은 다양한 기기와 페어링 가능한 컴팩트한 블루투스 키보드로 가벼운 무게와 긴 배터리 수명으로 휴대성과 실용성을 겸비했습니다.,IT,3500
57,샤프 전자노트 WG-S30,シャ?プ 電子ノ?ト WG-S30,샤프 전자노트 WG-S30은 종이처럼 자연스러운 필기감과 디지털 파일 저장이 가능한 전자 노트로 가벼운 무게와 긴 배터리 수명으로 휴대성이 뛰어납니다.,IT,11000
58,안커 보조배터리 PowerCore 10000,Anker モバイルバッテリ? PowerCore 10000,안커 보조배터리 PowerCore 10000은 컴팩트한 크기와 10000mAh 대용량 배터리를 갖춘 휴대용 충전기로 여행이나 외출 시 다양한 모바일 기기를 빠르게 충전할 수 있습니다.,IT,3500
59,프린스톤 USB-C 허브 6in1,プリンストン USB-Cハブ 6in1,"프린스톤 USB-C 허브 6in1은 노트북에 다양한 포트를 추가할 수 있는 멀티 허브로 HDMI, USB-A, SD카드 리더 등을 포함해 확장성을 높여주는 휴대용 주변기기입니다.",IT,4500
60,버팔로 외장 SSD 500GB,バッファロ? ポ?タブルSSD 500GB,USB 3.2 Gen1 인터페이스를 지원하는 버팔로 외장 SSD는 빠른 데이터 전송 속도와 휴대성을 겸비해 백업과 이동식 저장장치로 탁월한 성능을 발휘합니다.,IT,9000
61,샤프 전자사전 Brain PW-S2 시리즈,シャ?プ 電子?書 Brain PW-S2 シリ?ズ,"샤프 Brain PW-S2 시리즈는 다국어 사전과 학습 기능을 탑재한 스마트 전자사전으로, 학생과 비즈니스 사용자 모두에게 유용한 지식 도우미입니다.",IT,20000
