id,name,name_japanese,description,category,price
52,애플 아이패드 9세대 (Wi-Fi 64GB),アップル iPad (第9世代) Wi-Fi 64GB,"애플 아이패드 9세대는 10.2인치 Retina 디스플레이와 A13 Bionic 칩을 탑재한 태블릿으로 학습, 업무, 엔터테인먼트에 활용 가능한 다재다능한 디지털 기기입니다.",IT,50000
53,소니 무선이어폰 WF-1000XM5,ソニー ワイヤレスイヤホン WF-1000XM5,소니 무선이어폰 WF-1000XM5는 업계 최고 수준의 노이즈 캔슬링과 고음질 사운드를 제공하는 프리미엄 완전 무선 이어폰으로 편안한 착용감과 긴 배터리 수명이 특징입니다.,IT,35000
54,닌텐도 스위치 OLED 모델,Nintendo Switch OLED モデル,"닌텐도 스위치 OLED 모델은 선명한 7인치 OLED 화면과 향상된 오디오, 넓어진 스탠드, 유선 LAN 포트를 갖춘 닌텐도의 업그레이드 게임 콘솔입니다.",IT,38000
55,애플 매직 마우스 2,アップル マジックマウス 2,애플 매직 마우스 2는 멀티 터치 표면과 재충전 가능한 배터리를 갖춘 무선 마우스로 애플 기기와 완벽하게 호환되는 세련된 디자인의 주변기기입니다.,IT,11000
56,로지텍 무선 키보드 K380,ロジテック ワイヤレスキーボード K380,로지텍 무선 키보드 K380은 다양한 기기와 페어링 가능한 컴팩트한 블루투스 키보드로 가벼운 무게와 긴 배터리 수명으로 휴대성과 실용성을 겸비했습니다.,IT,3500
57,샤프 전자노트 WG-S30,シャープ 電子ノート WG-S30,샤프 전자노트 WG-S30은 종이처럼 자연스러운 필기감과 디지털 파일 저장이 가능한 전자 노트로 가벼운 무게와 긴 배터리 수명으로 휴대성이 뛰어납니다.,IT,11000
58,안커 보조배터리 PowerCore 10000,Anker モバイルバッテリー PowerCore 10000,안커 보조배터리 PowerCore 10000은 컴팩트한 크기와 10000mAh 대용량 배터리를 갖춘 휴대용 충전기로 여행이나 외출 시 다양한 모바일 기기를 빠르게 충전할 수 있습니다.,IT,3500
59,프린스톤 USB-C 허브 6in1,プリンストン USB-Cハブ 6in1,"프린스톤 USB-C 허브 6in1은 노트북에 다양한 포트를 추가할 수 있는 멀티 허브로 HDMI, USB-A, SD카드 리더 등을 포함해 확장성을 높여주는 휴대용 주변기기입니다.",IT,4500
60,버팔로 외장 SSD 500GB,バッファロー ポータブルSSD 500GB,버팔로 외장 SSD 500GB는 빠른 데이터 전송 속도와 컴팩트한 크기의 휴대용 외장 SSD로 대용량 파일 저장과 백업에 이상적인 스토리지 장치입니다.,IT,9000
61,샤프 전자사전 Brain PW-S2 시리즈,シャープ 電子辞書 Brain PW-S2 シリーズ,샤프 전자사전 Brain PW-S2 시리즈는 풍부한 사전 콘텐츠와 빠른 검색 기능을 갖춘 고성능 전자사전으로 언어 학습과 업무에 효율적인 휴대용 학습 도구입니다.,IT,20000
