카테고리	상품명	일본어 상품명	현지 평균 가격	구매처	도시 한정 여부
IT	애플 아이패드 9세대 (Wi-Fi 64GB)	Apple iPad 第9世代 (Wi-Fi 64GB)	약 49,800~55,000엔	애플스토어, 빅카메라	전국 판매
IT	소니 무선이어폰 WF-1000XM5	ソニー ワイヤレスイヤホン WF-1000XM5	약 33,000~38,000엔	요도바시카메라, 빅카메라	전국 판매
IT	닌텐도 스위치 OLED 모델	ニンテンドースイッチ OLEDモデル	약 37,000~39,000엔	요도바시카메라, 트위스터샵	전국 판매
IT	애플 매직 마우스 2	Apple Magic Mouse 2	약 10,000~12,000엔	애플스토어, 빅카메라	전국 판매
IT	로지텍 무선 키보드 K380	ロジクール K380 ワイヤレスキーボード	약 3,000~4,000엔	빅카메라, 아마존 재팬	전국 판매
IT	샤프 전자노트 WG-S30	シャープ 電子ノート WG-S30	약 10,000~12,000엔	요도바시카메라, 문구전문점	전국 판매
IT	안커 보조배터리 PowerCore 10000	Anker パワーコア 10000 モバイルバッテリー	약 3,000~4,500엔	돈키호테, 빅카메라, 온라인샵	전국 판매
IT	프린스톤 USB-C 허브 6in1	プリンストン USB-Cハブ 6in1	약 4,000~5,000엔	요도바시카메라, 아마존	전국 판매
IT	버팔로 외장 SSD 500GB	バッファロー 外付けSSD 500GB	약 8,000~10,000엔	전자전문점, 온라인	전국 판매
IT	샤프 전자사전 Brain PW-S2 시리즈	シャープ 電子辞書 Brain PW-S2シリーズ	약 18,000~25,000엔	요도바시카메라, 빅카메라	전국 판매
IT	Wacom Intuos S 타블렛	ワコム Intuos S ペンタブレット	약 8,000~10,000엔	전자전문점, 온라인	전국 판매
IT	JVC 무선 블루투스 헤드폰 HA-A30T	JVC ワイヤレスイヤホン HA-A30T	약 5,000~7,000엔	빅카메라, 요도바시카메라	전국 판매
IT	ELECOM 마우스 M-DY12DB 시리즈	エレコム マウス M-DY12DB シリーズ	약 1,500~2,500엔	로프트, 전자전문점, 아마존	전국 판매
IT	BUFFALO Wi-Fi 6 라우터 WSR-5400AX6S	バッファロー Wi-Fiルーター WSR-5400AX6S	약 10,000~13,000엔	요도바시카메라, 온라인몰	전국 판매
IT	ELECOM 노트북 스탠드	エレコム ノートパソコンスタンド	약 2,000~3,000엔	빅카메라, 요도바시카메라, 로프트	전국 판매
IT	Anker USB-C to HDMI 어댑터	Anker USB-C → HDMI 変換アダプター	약 2,000~3,000엔	빅카메라, 돈키호테, 아마존	전국 판매
IT	KOKUYO 스마트 노트 CamiApp	コクヨ スマートノート CamiApp	약 1,000~1,500엔	문구 전문점, 로프트	전국 판매
화장품/뷰티	비오레 UV 아쿠아리치 선크림	ビオレ UVアクアリッチ サンスクリーン	약 700~800엔	드럭스토어 (마츠모토키요시 등)	전국 판매
화장품/뷰티	캔메이크 크림치크	キャンメイク クリームチーク	약 600~800엔	드럭스토어, 로프트	전국 판매
화장품/뷰티	하다라보 고쿠쥰 로션	肌ラボ 極潤ローション	약 700~900엔	드럭스토어	전국 판매
화장품/뷰티	시세이도 퍼펙트휩	資生堂 パーフェクトホイップ	약 500~700엔	드럭스토어, 돈키호테	전국 판매
화장품/뷰티	DHC 딥 클렌징 오일	DHC ディープクレンジングオイル	약 1,200~1,500엔	드럭스토어, DHC 매장	전국 판매
화장품/뷰티	오페라 립틴트 N	オペラ リップティントN	약 1,500~1,800엔	드럭스토어, 로프트, PLAZA	전국 판매
