id,name,description,current_category,store_type
633,10년전그녀,"석류, 식물성 에스트로겐, GABA가 함유된 여성용 건강보조제로 피부와 컨디션 개선에 효과적이며 엄마 선물용으로 반복 구매된다는 후기",cosmetic,donki
634,9가지맛 프레츨,"명란, 타코야끼 등 일본 특산의 리얼한 맛을 즐길 수 있어 명란 맛만 따로 사는 사람도 많다는 후기",food,donki
635,APAGARD 세레나 치약,하이드록시아파타이트 성분으로 치아 표면 복구와 충치 예방 효과 있다는 후기,etc,donki
636,C.C 레몬,비타민C 풍부한 상큼한 탄산음료로 일본 편의점이나 마트에서 자주 구매하는 음료라는 후기,etc,donki
637,CANMAKE 마시멜로 팩트,저렴한 가격 대비 품질이 좋아서 화장 초보자나 학생들 사이에서 인기라는 후기,cosmetic,donki
638,CHOI 마스크팩,갓성비 제품으로 매일 붙일 수 있을 정도로 품질이 괜찮아 반복 구매했다는 실사용 후기,cosmetic,donki
639,CLUB 슷핀 파우더,생얼에도 사용 가능하고 트러블 없으며 피지 조절에 효과적이라는 후기,cosmetic,donki
640,DHC 다이어트 보조제,식사 전 복용 시 지방 흡수 차단 효과로 일본 다이어트 보조제 중 대표템으로 불린다는 후기,food,donki
641,DHC 립밤,촉촉함이 오래 지속되고 무향으로 남녀 모두에게 무난하며 선물용으로도 적합하다는 후기,cosmetic,donki
642,EVE 진통제,"두통, 생리통 등에 효과적이라 여성 여행객 사이에서 인생템으로 불린다는 실사용자 리뷰",etc,donki
643,FANCL 숯 파우더 클렌저,1회분 소포장으로 여행에 적합하며 모공 세정 효과가 뛰어나다는 실사용 후기,cosmetic,donki
644,FX 네오 안약,눈에 시원하게 작용해 눈 건강용으로 반복 구매된다는 제품,etc,donki
645,JONETZ 계란간장,돈키호테 PB 제품으로 간장계란밥용으로 인기가 높으며 간편하게 맛을 낼 수 있어 실용적이라는 후기,food,donki
646,JONETZ 곤약젤리,다양한 맛과 저칼로리로 입 심심할 때 좋은 간식이며 가성비 뛰어나 다이어트 간식으로 반복 구매된다는 후기,etc,donki
647,LB 펜슬 아이라이너,부드러운 발림성과 번짐 없는 지속력으로 인생템으로 손꼽히는 아이템,cosmetic,donki
648,LION TOP 얼룩 제거제,저렴한 가격과 컴팩트한 사이즈로 흰옷 오염 시 즉시 사용 가능하다는 후기,etc,donki
649,LOXONIN 종합 감기약,"인후통, 기침, 발열 모두에 효과 있어 겨울철 감기에 필수라는 후기",etc,donki
650,LuLuLun 프리미엄 마스크팩,얇고 밀착력 좋은 시트에 고급 세럼이 함유되어 1주일 집중 보습케어에 좋다는 평가,cosmetic,donki
651,MINON 모이스트 로션,수분감이 많고 사계절 사용 가능해 건조한 피부에 추천된다는 후기,cosmetic,donki
652,MINON 선크림,무기자차인데도 밀착력과 가벼움이 뛰어나 봄여름용으로 추천된다는 실사용 후기,cosmetic,donki
653,Meltykiss 초콜릿,입안에서 부드럽게 녹는 식감과 은은한 맛으로 초콜릿 애호가들에게 강력 추천된다는 후기,food,donki
654,OS-1 음료,마시는 수액이라 불릴 정도로 피로 회복과 탈수 예방에 효과적이라는 후기,food,donki
655,PAIR 여드름 크림,좁쌀여드름에 효과가 좋고 2주 사용해본 결과 만족스러워 재구매 의사가 있다는 후기,cosmetic,donki
656,S&B 골든카레,매운맛과 중간맛이 특히 인기 있으며 진한 일본식 카레 풍미로 밥 반찬이나 카레우동에 자주 활용됨,food,donki
657,SB 골든커리,고형 타입으로 고기 없이도 풍미 깊은 일본식 카레를 만들 수 있어 자취생 필수템이라는 후기,food,donki
658,UFO 야끼소바,큐피 마요네즈와 함께 먹으면 현지 맛 그대로라며 대체 불가능한 컵라면으로 추천된다는 리뷰,food,donki
659,V로토 프리미엄,PC 작업 후 눈의 피로 해소에 효과적이며 시원한 청량감으로 현지에서 인기도 높은 안약,etc,donki
660,가보스 간장,"튀김, 생선구이, 샤브샤브에 잘 어울리는 산뜻한 감귤류 간장으로 지역 특산품이라 선물용으로도 추천됨",food,donki
661,가보스 초콜릿,상큼 달콤한 유자 비슷한 맛으로 흔한 초콜릿과는 달라 선물로 자주 추천된다는 후기,food,donki
662,가부오카 젓가락,일본스러운 디자인과 실용성 덕분에 기념품으로 추천된다는 후기,etc,donki
